Station,District,Latitude,Longitude,timestamp,month,day_of_year,rainfall_mm,rainfall_previous,rainfall_3_obs,rainfall_6_obs,river_level,river_level_change,river_level_rolling_mean_3,river_level_rolling_max_6
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 06:00:00,8,213,1.0,1.0,3.0,6.0,0.929,-0.34299999999999997,1.265,2.019
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 08:00:00,8,213,1.0,1.0,3.0,6.0,0.859,-0.07000000000000006,1.0199999999999998,1.594
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 11:00:00,8,213,1.0,1.0,3.0,6.0,1.024,0.16500000000000004,0.9373333333333335,1.594
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 13:00:00,8,213,1.0,1.0,3.0,6.0,0.84,-0.18400000000000005,0.9076666666666666,1.594
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 15:00:00,8,213,1.0,1.0,3.0,6.0,0.872,0.03200000000000003,0.9119999999999999,1.272
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 17:00:00,8,213,1.0,1.0,3.0,6.0,0.848,-0.02400000000000002,0.8533333333333334,1.024
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 20:00:00,8,213,1.0,1.0,3.0,6.0,0.997,0.14900000000000002,0.9056666666666667,1.024
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-02 00:00:00,8,214,1.0,1.0,3.0,6.0,1.114,0.1170000000000001,0.9863333333333334,1.114
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-02 03:00:00,8,214,1.0,1.0,3.0,6.0,1.147,0.03299999999999992,1.086,1.147
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-02 07:00:00,8,214,1.0,1.0,3.0,6.0,1.363,0.21599999999999997,1.2080000000000002,1.363
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-02 10:00:00,8,214,1.0,1.0,3.0,6.0,1.323,-0.040000000000000036,1.2776666666666667,1.363
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-02 13:00:00,8,214,1.0,1.0,3.0,6.0,1.487,0.16400000000000015,1.391,1.487
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-02 16:00:00,8,214,1.0,1.0,3.0,6.0,1.408,-0.07900000000000018,1.406,1.487
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-02 21:00:00,8,214,1.0,1.0,3.0,6.0,1.358,-0.04999999999999982,1.4176666666666666,1.487
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-02 23:00:00,8,214,1.0,1.0,3.0,6.0,1.34,-0.018000000000000016,1.3686666666666667,1.487
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-03 02:00:00,8,215,1.0,1.0,3.0,6.0,1.281,-0.05900000000000016,1.3263333333333334,1.487
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-03 05:00:00,8,215,1.0,1.0,3.0,6.0,1.362,0.08100000000000018,1.3276666666666666,1.487
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-03 12:00:00,8,215,1.0,1.0,3.0,6.0,1.462,0.09999999999999987,1.3683333333333334,1.462
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-03 15:00:00,8,215,1.0,1.0,3.0,6.0,1.533,0.07099999999999995,1.4523333333333335,1.533
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-03 17:00:00,8,215,1.0,1.0,3.0,6.0,1.557,0.02400000000000002,1.5173333333333332,1.557
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-03 22:00:00,8,215,1.0,1.0,3.0,6.0,1.531,-0.026000000000000023,1.540333333333333,1.557
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-04 02:00:00,8,216,1.0,1.0,3.0,6.0,1.616,0.08500000000000019,1.5679999999999998,1.616
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-04 05:00:00,8,216,1.0,1.0,3.0,6.0,1.573,-0.04300000000000015,1.5733333333333333,1.616
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-04 10:00:00,8,216,1.0,1.0,3.0,6.0,1.663,0.09000000000000008,1.6173333333333335,1.663
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-04 13:00:00,8,216,1.0,1.0,3.0,6.0,1.689,0.026000000000000023,1.6416666666666666,1.689
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-04 15:00:00,8,216,1.0,1.0,3.0,6.0,1.706,0.016999999999999904,1.686,1.706
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-04 19:00:00,8,216,1.0,1.0,3.0,6.0,1.62,-0.08599999999999985,1.6716666666666669,1.706
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-04 23:00:00,8,216,1.0,1.0,3.0,6.0,1.695,0.07499999999999996,1.6736666666666666,1.706
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-05 04:00:00,8,217,1.0,1.0,3.0,6.0,1.802,0.10699999999999998,1.7056666666666667,1.802
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-05 09:00:00,8,217,1.0,1.0,3.0,6.0,1.77,-0.03200000000000003,1.7556666666666667,1.802
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-10 11:00:00,8,222,1.0,1.0,3.0,6.0,1.623,-0.14700000000000002,1.7316666666666667,1.802
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-10 13:00:00,8,222,1.0,1.0,3.0,6.0,1.647,0.02400000000000002,1.68,1.802
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-10 18:00:00,8,222,1.0,1.0,3.0,6.0,1.797,0.1499999999999999,1.689,1.802
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-11 01:00:00,8,223,1.0,1.0,3.0,6.0,1.849,0.052000000000000046,1.7643333333333333,1.849
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-11 08:00:00,8,223,1.0,1.0,3.0,6.0,1.87,0.02100000000000013,1.8386666666666667,1.87
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-15 09:00:00,8,227,1.0,1.0,3.0,6.0,2.035,0.16500000000000004,1.9180000000000001,2.035
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-16 06:00:00,8,228,1.0,1.0,3.0,6.0,1.967,-0.06800000000000006,1.9573333333333334,2.035
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-17 09:00:00,8,229,1.0,1.0,3.0,6.0,2.11,0.1429999999999998,2.037333333333333,2.11
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-19 03:00:00,8,231,1.0,1.0,3.0,6.0,2.226,0.1160000000000001,2.101,2.226
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-21 01:00:00,8,233,1.0,1.0,3.0,6.0,2.276,0.04999999999999982,2.204,2.276
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-23 04:00:00,8,235,1.0,1.0,3.0,6.0,2.371,0.0950000000000002,2.291,2.371
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-24 06:00:00,8,236,1.0,1.0,3.0,6.0,2.328,-0.04300000000000015,2.3249999999999997,2.371
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-27 07:00:00,8,239,1.0,1.0,3.0,6.0,2.478,0.15000000000000036,2.392333333333333,2.478
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-28 21:00:00,8,240,1.0,1.0,3.0,6.0,2.173,-0.30500000000000016,2.326333333333333,2.478
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-31 01:00:00,8,243,1.0,1.0,3.0,6.0,2.347,0.17399999999999993,2.332666666666667,2.478
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-09-01 13:00:00,9,244,1.0,1.0,3.0,6.0,2.354,0.007000000000000117,2.291333333333333,2.478
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-09-03 05:00:00,9,246,1.0,1.0,3.0,6.0,2.188,-0.16599999999999993,2.2963333333333336,2.478
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-09-07 03:00:00,9,250,1.0,1.0,3.0,6.0,1.515,-0.6730000000000003,2.019,2.478
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-09-18 12:00:00,9,261,1.0,1.0,3.0,6.0,2.217,0.7020000000000002,1.9733333333333334,2.354
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-03-22 14:00:00,3,81,46.0,1.0,48.0,51.0,3.146,0.9289999999999998,2.292666666666667,3.146
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-05 05:00:00,6,156,160.0,46.0,207.0,210.0,3.184,0.038000000000000256,2.849,3.184
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-18 20:00:00,6,169,1.0,160.0,207.0,210.0,1.51,-1.6740000000000002,2.6133333333333333,3.184
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-24 14:00:00,6,175,1.0,1.0,162.0,210.0,2.179,0.6689999999999998,2.291,3.184
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-27 04:00:00,6,178,1.0,1.0,3.0,210.0,2.299,0.1200000000000001,1.9959999999999998,3.184
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-27 05:00:00,6,178,1.0,1.0,3.0,210.0,2.283,-0.016000000000000014,2.2536666666666663,3.184
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-27 07:00:00,6,178,1.0,1.0,3.0,165.0,2.009,-0.274,2.1969999999999996,3.184
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-28 06:00:00,6,179,1.0,1.0,3.0,6.0,2.365,0.3560000000000003,2.219,2.365
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-28 11:00:00,6,179,1.0,1.0,3.0,6.0,2.502,0.13699999999999957,2.292,2.502
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-28 12:00:00,6,179,1.0,1.0,3.0,6.0,2.57,0.06800000000000006,2.4789999999999996,2.57
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-28 13:00:00,6,179,1.0,1.0,3.0,6.0,2.6,0.03000000000000025,2.557333333333333,2.6
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-28 14:00:00,6,179,2.0,1.0,4.0,7.0,2.587,-0.0129999999999999,2.585666666666666,2.6
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-28 15:00:00,6,179,1.0,2.0,4.0,7.0,2.613,0.0259999999999998,2.5999999999999996,2.613
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-28 16:00:00,6,179,1.0,1.0,4.0,7.0,2.651,0.03799999999999981,2.6169999999999995,2.651
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-29 12:00:00,6,180,1.0,1.0,3.0,7.0,2.661,0.010000000000000231,2.641666666666666,2.661
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-29 15:00:00,6,180,1.0,1.0,3.0,7.0,2.698,0.03699999999999992,2.67,2.698
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-06-30 10:00:00,6,181,1.0,1.0,3.0,7.0,2.511,-0.18699999999999983,2.623333333333333,2.698
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-01 08:00:00,7,182,1.0,1.0,3.0,6.0,2.596,0.08499999999999996,2.6016666666666666,2.698
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-01 20:00:00,7,182,1.0,1.0,3.0,6.0,2.197,-0.399,2.4346666666666663,2.698
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 02:00:00,7,183,1.0,1.0,3.0,6.0,2.265,0.06800000000000006,2.3526666666666665,2.698
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 04:00:00,7,183,1.0,1.0,3.0,6.0,2.344,0.07899999999999974,2.2686666666666664,2.698
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 05:00:00,7,183,3.0,1.0,5.0,8.0,2.358,0.014000000000000234,2.322333333333333,2.596
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 06:00:00,7,183,2.0,3.0,6.0,9.0,2.362,0.0040000000000000036,2.3546666666666662,2.596
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 07:00:00,7,183,2.0,2.0,7.0,10.0,2.377,0.01499999999999968,2.3656666666666664,2.377
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 08:00:00,7,183,1.0,2.0,5.0,10.0,2.386,0.009000000000000341,2.3749999999999996,2.386
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 09:00:00,7,183,1.0,1.0,4.0,10.0,2.374,-0.01200000000000001,2.3789999999999996,2.386
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 10:00:00,7,183,2.0,1.0,4.0,11.0,2.369,-0.004999999999999893,2.376333333333333,2.386
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 11:00:00,7,183,2.0,2.0,5.0,10.0,2.361,-0.008000000000000007,2.368,2.386
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 12:00:00,7,183,3.0,2.0,7.0,11.0,2.331,-0.03000000000000025,2.3536666666666664,2.386
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 13:00:00,7,183,2.0,3.0,7.0,11.0,2.342,0.01100000000000012,2.3446666666666665,2.386
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 14:00:00,7,183,3.0,2.0,8.0,13.0,2.358,0.016000000000000014,2.343666666666666,2.374
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 15:00:00,7,183,2.0,3.0,7.0,14.0,2.334,-0.02400000000000002,2.3446666666666665,2.369
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 16:00:00,7,183,2.0,2.0,7.0,14.0,2.34,0.005999999999999783,2.3439999999999994,2.361
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 17:00:00,7,183,1.0,2.0,5.0,13.0,2.336,-0.0040000000000000036,2.3366666666666664,2.358
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 18:00:00,7,183,2.0,1.0,5.0,12.0,2.241,-0.09499999999999975,2.305666666666666,2.358
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 19:00:00,7,183,1.0,2.0,4.0,11.0,2.187,-0.05400000000000027,2.254666666666666,2.358
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 20:00:00,7,183,1.0,1.0,4.0,9.0,2.202,0.015000000000000124,2.2099999999999995,2.34
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-02 21:00:00,7,183,1.0,1.0,3.0,8.0,2.272,0.06999999999999984,2.220333333333333,2.34
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-03 01:00:00,7,184,1.0,1.0,3.0,7.0,2.037,-0.23499999999999988,2.1703333333333332,2.336
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-03 07:00:00,7,184,1.0,1.0,3.0,7.0,2.311,0.274,2.2066666666666666,2.311
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-03 10:00:00,7,184,1.0,1.0,3.0,6.0,2.217,-0.09399999999999986,2.188333333333333,2.311
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-03 11:00:00,7,184,1.0,1.0,3.0,6.0,2.176,-0.040999999999999925,2.234666666666666,2.311
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-03 12:00:00,7,184,1.0,1.0,3.0,6.0,2.104,-0.07200000000000006,2.165666666666666,2.311
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-03 14:00:00,7,184,1.0,1.0,3.0,6.0,2.03,-0.07400000000000029,2.103333333333333,2.311
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-04 06:00:00,7,185,1.0,1.0,3.0,6.0,2.495,0.4650000000000003,2.2096666666666667,2.495
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-04 15:00:00,7,185,5.0,1.0,7.0,10.0,2.487,-0.008000000000000007,2.337333333333333,2.495
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-04 16:00:00,7,185,2.0,5.0,8.0,11.0,2.521,0.03399999999999981,2.501,2.521
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-04 17:00:00,7,185,1.0,2.0,8.0,11.0,2.525,0.0040000000000000036,2.5109999999999997,2.525
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-04 18:00:00,7,185,1.0,1.0,4.0,11.0,2.548,0.02300000000000013,2.531333333333333,2.548
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-05 08:00:00,7,186,1.0,1.0,3.0,11.0,2.581,0.03299999999999992,2.5513333333333326,2.581
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-05 22:00:00,7,186,1.0,1.0,3.0,11.0,2.543,-0.03799999999999981,2.557333333333333,2.581
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-06 03:00:00,7,187,1.0,1.0,3.0,7.0,2.65,0.10699999999999976,2.591333333333333,2.65
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-06 05:00:00,7,187,1.0,1.0,3.0,6.0,2.631,-0.019000000000000128,2.608,2.65
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-06 06:00:00,7,187,1.0,1.0,3.0,6.0,2.581,-0.04999999999999982,2.6206666666666663,2.65
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-06 09:00:00,7,187,1.0,1.0,3.0,6.0,2.555,-0.0259999999999998,2.589,2.65
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-06 12:00:00,7,187,1.0,1.0,3.0,6.0,2.616,0.06099999999999994,2.5839999999999996,2.65
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-06 15:00:00,7,187,1.0,1.0,3.0,6.0,2.629,0.0129999999999999,2.5999999999999996,2.65
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-06 16:00:00,7,187,1.0,1.0,3.0,6.0,2.67,0.040999999999999925,2.638333333333333,2.67
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-06 18:00:00,7,187,2.0,1.0,4.0,7.0,2.618,-0.052000000000000046,2.639,2.67
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-06 19:00:00,7,187,1.0,2.0,4.0,7.0,2.59,-0.028000000000000025,2.6259999999999994,2.67
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-06 20:00:00,7,187,1.0,1.0,4.0,7.0,2.552,-0.03799999999999981,2.586666666666666,2.67
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-06 21:00:00,7,187,1.0,1.0,3.0,7.0,2.537,-0.015000000000000124,2.5596666666666663,2.67
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2023-07-07 00:00:00,7,188,1.0,1.0,3.0,7.0,2.573,0.03600000000000003,2.554,2.67
